Financial_Mapping_Ledger_2026-09-13_v172.txt
================================================================================
MERCHANT & PAYEE MAPPING LEDGER
Date: 2026-09-13 (Version 172)
Role: Deterministic Dictionary for CSV/PDF Transaction Mapping & Batch Accumulator
File Name: Financial_Mapping_Ledger_2026-09-13_v172.txt
================================================================================
Merchant_String                     | Target_Label                        | Status         | Hit_Count | Last_Seen
Kindle Svcs*M64TT7B63               | Kindle_Books                        | [MAPPED]       | 3         | 2024-12
Optical Quantum OQBDR06WIP-H-50 6.. | DVD                                 | [MAPPED]       | 1         | 2025-01
Brunswick Boneless Kipper Style H.. | Food                                | [MAPPED]       | 1         | 2025-01
Safe Catch Canned Wild Tuna Fish,.. | Food                                | [MAPPED]       | 1         | 2025-01
Bronson Ashwagandha Extra Strengt.. | Supplements                         | [MAPPED]       | 1         | 2025-01
NOW Foods Supplements, Lion's Man.. | Supplements                         | [MAPPED]       | 1         | 2025-01
Kaboom Scrub Free! Toilet Bowl Cl.. | House_Maintenance                   | [MAPPED]       | 1         | 2025-01
Tiptree Orange & Malt Whisky Marm.. | Food                                | [MAPPED]       | 1         | 2025-01
Portable Blender, Anti-Jamming 30.. | Cookware                            | [MAPPED]       | 1         | 2025-01
Lavazza medium roast Grand Espres.. | Food                                | [MAPPED]       | 1         | 2025-01
Auto Centering Pill Cutter Device.. | Supplements                         | [MAPPED]       | 1         | 2025-01
Pure Alaska Omega-3 Wild Alaskan .. | Food                                | [MAPPED]       | 1         | 2025-01
Wrangler 20" Hardside Carry-On Spinner L* | Outdoors                            | [MAPPED]       | 2         | 2025-01
NOW Foods Supplements, Lion's Mane 500 m* | Supplements                         | [MAPPED]       | 2         | 2025-01
Tiptree Orange & Malt Whisky Marmalade,* | Food                                | [MAPPED]       | 2         | 2025-01
Portable Blender, Anti-Jamming 300 Watt* | Cookware                            | [MAPPED]       | 2         | 2025-01
Lavazza medium roast Grand Espresso Whol* | Food                                | [MAPPED]       | 2         | 2025-01
Auto Centering Pill Cutter Device, Alumi* | Medication                          | [MAPPED]       | 2         | 2025-01
SP BUTTERMAIDBAKERY                 | Food                                | [MAPPED]       | 3         | 2025-01
HIGHWOODS- 300 S. ORANGE            | Car                                 | [MAPPED]       | 3         | 2025-01
WESTERN DIGITAL CORP                | Electronic_Equipment                | [MAPPED]       | 3         | 2025-01
Latest 2025 Kilo Auto Vacuum Coffee Cani* | Cookware                            | [MAPPED]       | 2         | 2025-02
PAYPAL *PVDATANETAB                 | Software                            | [MAPPED]       | 2         | 2025-02
Sun's Tea 13oz Ultra Clear Strong Double* | Cookware                            | [MAPPED]       | 2         | 2025-02
New Wave Enviro 10 Stage Plus Water Filt* | House_Maintenance                   | [MAPPED]       | 2         | 2025-02
MOSOLAN Water Bottle Cleaning Brush, 13.* | Cookware                            | [MAPPED]       | 2         | 2025-02
SAMS CLUB RENEWAL                   | Food                                | [MAPPED]       | 2         | 2025-02
VFZO Temperature Control Heated Travel M* | Cookware                            | [MAPPED]       | 2         | 2025-02
USDISC CD Jewel Cases Slimline 5.2mm, Si* | DVD                                 | [MAPPED]       | 2         | 2025-02
SwitchBot Blind Tilt Motorized Blinds -* | Electronic_Equipment                | [MAPPED]       | 2         | 2025-02
Nutricost Pygeum 5000mg, 120 Capsules -* | Supplements                         | [MAPPED]       | 2         | 2025-02
Phillips' Colon Health Daily Probiotic C* | Supplements                         | [MAPPED]       | 2         | 2025-02
[5Packs] ORICO 2.5 SSD SATA to 3.5 Hard* | Electronic_Equipment                | [MAPPED]       | 2         | 2025-02
Optical Quantum OQBDR06WIP-H-50 6X 25 GB* | DVD                                 | [MAPPED]       | 6         | 2025-02
PIRIN INTERNATIONAL                 | Food                                | [MAPPED]       | 5         | 2025-02
SAFETOUCH ORLANDO                   | Safetouch_Alarm                     | [MAPPED]       | 11        | 2025-02
Lavazza Decaf Dark Espresso Roast.. | Food                                | [MAPPED]       | 1         | 2025-03
Safe Catch Canned Wild Tuna Fish,.. | Food                                | [MAPPED]       | 1         | 2025-03
Coffee Machine Filters Replacemen.. | Cookware                            | [MAPPED]       | 1         | 2025-03
Kaboom Scrub Free! Toilet Bowl Cl.. | House_Maintenance                   | [MAPPED]       | 1         | 2025-03
Heatuff 12 Pairs Men's Cotton Per.. | Clothes                             | [MAPPED]       | 1         | 2025-03
Aolesy Men's 2 Pack Gym Shorts 2 .. | Clothes                             | [MAPPED]       | 1         | 2025-03
